;;;;;;;;;;;;;;;;;;;;;;;;;;;
LogID;652;;Lap;RunTime;LapTime;HR;avgHR;LapDist;LapSpeed;RunDist;RunSpeed;Notes;;Time;HR;EPOC;Vent;Resp;VO2;kCal;Alt;Distance;Speed;min/km;km/h;;
HRhighLimit;200;;;;;;;;;;;;;0:01:38;90;0,348;20;20;8;2,45;0;0;0,000;;0,0;;
HRlowLimit;50;;;;;;;;;;;;;0:01:40;95;0,355;22;21;9;2,83;0;0;0,000;;0,0;;
SecondsAbove;0:00:00;;;;;;;;;;;;;0:01:42;99;0,364;25;22;10;3,12;0;0;0,000;;0,0;;
SecondsBelow;0:00:00;;;;;;;;;;;;;0:01:44;102;0,373;26;22;10;3,30;0;0;0,000;;0,0;;
SecondInsid;0:29:32;;;;;;;;;;;;;0:01:46;96;0,383;25;23;10;3,08;0;0;0,000;;0,0;;
IBI-data;TRUE;;;;;;;;;;;;;0:01:48;83;0,390;24;24;8;2,67;0;0;0,000;;0,0;;
IBI-cor.data;TRUE;;;;;;;;;;;;;0:01:50;78;0,396;24;24;8;2,56;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:01:52;82;0,403;26;25;9;2,78;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:01:54;85;0,411;27;25;9;2,90;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:01:56;85;0,418;27;25;9;2,94;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:01:58;89;0,427;28;25;10;3,05;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:00;89;0,435;28;25;10;3,03;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:02;88;0,443;27;25;9;2,96;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:04;89;0,451;26;24;9;2,96;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:06;88;0,458;25;24;9;2,87;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:08;86;0,465;23;23;8;2,71;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:10;86;0,472;22;22;8;2,64;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:12;90;0,478;22;22;8;2,71;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:14;94;0,485;22;21;9;2,72;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:16;89;0,491;19;20;7;2,38;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:18;87;0,495;18;19;7;2,19;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:20;88;0,500;17;19;7;2,11;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:22;91;0,504;17;18;7;2,13;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:24;88;0,508;16;17;6;1,91;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:26;88;0,511;15;17;6;1,83;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:28;94;0,515;16;16;6;2,05;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:30;97;0,519;16;16;6;2,10;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:32;90;0,522;14;16;5;1,75;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:34;82;0,525;13;16;4;1,45;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:36;87;0,527;14;16;5;1,63;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:38;88;0,530;14;16;5;1,66;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:40;87;0,532;14;16;5;1,66;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:42;84;0,535;14;16;5;1,58;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:44;86;0,538;14;16;5;1,71;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:46;89;0,541;15;17;6;1,85;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:48;92;0,545;17;17;6;2,05;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:50;95;0,549;18;17;7;2,26;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:52;97;0,554;19;18;7;2,41;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:54;99;0,560;20;18;8;2,58;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:56;104;0,566;22;18;9;2,87;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:02:58;104;0,574;21;18;9;2,84;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:00;90;0,579;17;19;7;2,17;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:02;81;0,582;16;19;5;1,80;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:04;80;0,585;15;18;5;1,72;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:06;79;0,587;15;18;5;1,67;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:08;82;0,590;15;18;5;1,76;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:10;89;0,593;17;18;6;1,99;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:12;95;0,597;18;17;7;2,22;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:14;100;0,602;18;17;7;2,41;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:16;98;0,607;17;17;7;2,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:18;93;0,611;16;16;6;1,96;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:20;86;0,613;14;16;5;1,61;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:22;84;0,615;13;16;5;1,54;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:24;88;0,618;14;16;5;1,66;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:26;82;0,620;12;16;4;1,41;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:28;79;0,621;12;16;4;1,36;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:30;88;0,623;14;16;5;1,68;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:32;90;0,626;15;16;5;1,77;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:34;89;0,629;14;16;5;1,71;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:36;82;0,631;13;16;4;1,50;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:38;83;0,633;14;16;5;1,57;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:40;89;0,636;15;16;6;1,82;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:42;90;0,639;15;17;6;1,86;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:44;84;0,641;14;17;5;1,63;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:46;85;0,643;15;17;5;1,69;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:48;89;0,646;15;17;6;1,84;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:50;89;0,649;15;17;5;1,79;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:52;86;0,652;14;16;5;1,68;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:54;87;0,654;14;16;5;1,69;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:56;86;0,656;13;16;5;1,56;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:03:58;78;0,658;12;15;4;1,28;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:00;82;0,659;12;15;4;1,37;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:02;86;0,661;12;15;4;1,43;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:04;87;0,662;12;14;4;1,43;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:06;87;0,664;11;14;4;1,34;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:08;82;0,665;10;13;3;1,19;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:10;87;0,666;11;13;4;1,30;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:12;88;0,667;11;12;4;1,26;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:14;82;0,668;9;12;3;1,10;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:16;80;0,668;9;12;3;1,06;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:18;81;0,669;9;13;3;1,08;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:20;78;0,670;9;13;3;1,05;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:22;80;0,670;10;13;3;1,17;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:24;84;0,672;11;14;4;1,28;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:26;70;0,672;10;15;3;1,01;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:28;72;0,673;11;16;3;1,16;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:30;79;0,675;13;17;4;1,48;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:32;81;0,677;15;18;5;1,70;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:34;80;0,679;16;19;5;1,79;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:36;80;0,683;18;20;6;2,01;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:38;89;0,687;21;21;8;2,56;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:40;91;0,694;23;22;9;2,76;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:42;90;0,700;25;23;9;2,85;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:44;91;0,707;27;24;9;2,99;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:46;92;0,715;28;25;10;3,09;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:48;90;0,723;30;26;10;3,08;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:50;89;0,731;31;27;10;3,12;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:52;90;0,739;33;28;10;3,23;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:54;93;0,748;35;28;11;3,34;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:56;91;0,757;35;29;10;3,29;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:04:58;87;0,765;35;29;10;3,19;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:00;87;0,774;36;29;10;3,21;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:02;88;0,782;37;30;10;3,28;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:04;89;0,791;37;30;10;3,29;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:06;87;0,800;37;30;10;3,25;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:08;88;0,808;38;30;11;3,32;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:10;92;0,818;39;30;11;3,41;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:12;90;0,827;39;30;11;3,35;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:14;88;0,836;39;30;10;3,30;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:16;87;0,844;39;31;10;3,28;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:18;87;0,853;39;31;10;3,28;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:20;87;0,861;39;31;10;3,25;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:22;84;0,869;38;31;10;3,16;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:24;80;0,877;37;31;10;3,07;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:26;82;0,884;38;31;10;3,13;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:28;84;0,892;38;31;10;3,20;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:30;87;0,900;38;30;10;3,26;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:32;91;0,909;39;30;11;3,37;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:34;95;0,918;39;30;11;3,47;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:36;96;0,928;38;29;11;3,50;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:38;96;0,937;36;29;11;3,43;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:40;94;0,946;34;28;11;3,34;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:42;93;0,954;33;27;10;3,25;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:44;92;0,962;31;26;10;3,16;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:46;90;0,969;29;26;10;3,02;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:48;87;0,975;26;25;9;2,83;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:50;87;0,981;25;24;9;2,77;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:52;89;0,986;24;23;9;2,78;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:54;93;0,992;24;22;9;2,84;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:56;97;0,998;24;22;9;2,93;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:05:58;96;1,004;22;21;9;2,76;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:00;91;1,008;20;20;8;2,43;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:02;89;1,011;19;20;7;2,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:06:04;90;1,015;18;19;7;2,24;0;0;0,000;;0,0;;
