;;;;;;;;;;;;;;;;;;;;;;;;;;;
LogID;652;;Lap;RunTime;LapTime;HR;avgHR;LapDist;LapSpeed;RunDist;RunSpeed;Notes;;Time;HR;EPOC;Vent;Resp;VO2;kCal;Alt;Distance;Speed;min/km;km/h;;
;;;;;;;;;;;;;;0:24:32;172;34,181;95;38;28;8,67;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:24:34;174;34,313;95;38;28;8,75;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:24:36;174;34,443;93;37;28;8,72;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:24:38;173;34,572;91;36;28;8,70;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:24:40;172;34,696;87;36;28;8,60;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:24:42;170;34,809;82;35;27;8,37;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:24:44;164;34,894;74;34;25;7,80;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:24:46;158;34,945;70;33;23;7,18;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:24:48;153;34,971;65;32;22;6,66;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:24:50;150;34,978;62;31;20;6,32;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:24:52;152;34,991;63;30;21;6,58;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:24:54;157;35,026;65;29;23;7,12;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:24:56;159;35,071;62;28;23;7,20;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:24:58;158;35,113;61;27;23;7,13;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:00;159;35,155;60;27;23;7,15;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:02;159;35,198;60;26;23;7,18;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:04;159;35,238;57;26;23;7,03;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:06;155;35,259;54;25;21;6,58;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:08;152;35,262;51;25;20;6,17;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:10;149;35,249;50;25;19;5,81;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:12;150;35,236;51;25;19;5,94;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:14;149;35,218;47;25;18;5,57;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:16;141;35,169;43;25;15;4,58;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:18;138;35,104;44;25;14;4,45;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:20;142;35,055;47;25;16;4,91;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:22;143;35,013;47;25;16;5,07;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:24;144;34,977;49;25;17;5,31;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:26;148;34,954;50;26;18;5,70;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:28;148;34,933;49;26;18;5,62;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:30;146;34,903;48;26;17;5,32;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:32;144;34,865;46;26;16;5,08;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:34;139;34,805;41;26;13;4,22;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:36;133;34,726;43;25;13;3,96;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:38;140;34,664;43;25;14;4,48;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:40;130;34,583;34;25;10;3,16;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:42;122;34,487;35;25;9;2,76;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:44;124;34,391;33;24;9;2,77;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:46;122;34,295;33;24;9;2,72;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:48;125;34,202;35;24;9;2,98;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:50;129;34,111;34;23;10;3,13;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:52;124;34,017;30;23;9;2,73;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:54;124;33,923;32;22;9;2,80;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:56;126;33,830;30;22;9;2,86;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:25:58;124;33,736;30;21;9;2,72;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:00;128;33,645;31;21;10;3,07;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:02;128;33,555;30;21;9;3,01;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:04;127;33,464;30;20;9;2,96;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:06;130;33,376;32;20;10;3,24;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:08;131;33,289;29;20;10;3,15;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:10;121;33,194;21;20;7;2,21;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:12;106;33,094;19;20;5;1,67;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:14;103;32,993;19;20;5;1,61;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:16;103;32,893;19;20;5;1,61;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:18;103;32,792;19;20;5;1,61;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:20;103;32,693;19;20;5;1,61;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:22;103;32,593;19;20;5;1,61;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:24;103;32,494;19;20;5;1,62;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:26;103;32,395;20;20;5;1,63;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:28;103;32,296;20;21;5;1,64;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:30;103;32,198;22;22;5;1,66;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:32;103;32,101;23;23;5;1,68;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:34;103;32,003;26;24;5;1,71;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:36;103;31,907;28;26;5;1,74;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:38;103;31,810;32;27;5;1,78;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:40;103;31,715;36;29;6;1,82;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:42;103;31,619;41;31;6;1,86;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:44;103;31,525;46;33;6;1,90;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:46;103;31,431;51;35;6;1,94;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:48;103;31,337;56;37;6;1,98;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:50;103;31,244;61;38;6;2,02;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:52;103;31,151;65;40;6;2,05;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:54;103;31,059;69;41;6;2,08;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:56;103;30,968;71;41;6;2,10;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:26:58;103;30,876;73;42;7;2,12;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:00;103;30,785;73;42;7;2,12;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:02;103;30,695;72;41;7;2,11;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:04;103;30,604;69;41;6;2,10;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:06;103;30,514;66;40;6;2,07;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:08;103;30,423;61;38;6;2,04;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:10;103;30,333;56;37;6;2,00;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:12;103;30,243;51;35;6;1,96;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:14;103;30,152;45;33;6;1,91;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:16;103;30,062;39;31;6;1,87;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:18;103;29,972;34;28;6;1,82;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:20;103;29,881;29;26;5;1,78;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:22;103;29,791;25;24;5;1,73;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:24;103;29,701;22;22;5;1,69;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:26;103;29,611;19;20;5;1,64;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:28;103;29,520;17;18;5;1,59;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:30;103;29,430;15;17;5;1,53;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:32;103;29,340;14;16;4;1,48;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:34;103;29,250;13;15;4;1,43;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:36;103;29,160;12;14;4;1,39;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:38;103;29,070;12;14;4;1,36;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:40;103;28,981;12;13;4;1,33;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:42;103;28,891;11;13;4;1,32;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:44;103;28,802;11;13;4;1,30;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:46;103;28,713;11;13;4;1,29;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:48;103;28,624;11;13;4;1,29;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:50;103;28,536;11;13;4;1,28;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:52;103;28,447;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:54;103;28,359;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:56;103;28,272;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:27:58;103;28,184;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:00;103;28,097;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:02;103;28,010;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:04;103;27,923;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:06;103;27,837;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:08;103;27,751;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:10;103;27,665;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:12;103;27,579;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:14;103;27,494;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:16;103;27,409;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:18;103;27,324;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:20;103;27,240;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:22;103;27,155;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:24;103;27,071;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:26;103;26,988;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:28;103;26,904;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:30;103;26,821;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:32;103;26,738;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:34;103;26,655;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:36;103;26,573;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:38;103;26,491;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:40;103;26,409;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:42;103;26,327;11;13;4;1,27;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:44;103;26,246;11;13;4;1,28;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:46;103;26,165;11;13;4;1,28;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:48;103;26,084;11;13;4;1,28;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:50;103;26,003;11;13;4;1,28;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:52;103;25,923;11;13;4;1,29;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:54;103;25,842;11;13;4;1,29;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:56;103;25,763;11;13;4;1,29;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:28:58;103;25,683;11;13;4;1,30;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:00;103;25,604;11;13;4;1,30;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:02;103;25,525;11;13;4;1,31;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:04;103;25,446;12;13;4;1,32;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:06;103;25,367;12;13;4;1,32;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:08;103;25,289;12;13;4;1,33;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:10;103;25,211;12;13;4;1,33;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:12;103;25,133;12;13;4;1,34;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:14;103;25,056;12;13;4;1,34;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:16;103;24,978;12;13;4;1,35;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:18;103;24,901;12;13;4;1,35;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:20;103;24,825;12;13;4;1,36;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:22;103;24,748;12;14;4;1,36;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:24;103;24,672;12;14;4;1,37;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:26;103;24,596;12;14;4;1,37;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:28;103;24,520;12;14;4;1,37;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:30;103;24,445;12;14;4;1,38;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;0:29:32;103;24,445;12;14;4;1,38;0;0;0,000;;0,0;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
